Component,Use case,Source,Threat,Risk Response,Inherent Risk,Current Risk,Countermeasure progress,Weakness tests,Countermeasure tests,Projected Risk,Owner,MITRE reference,STRIDE-LM
DS2: ML Model Store,Information Disclosure,Created by Rules Engine,Adversaries discover cloud-hosted vector database services for extraction or poisoning,Planned mitigation: 0%. Mitigated: 100%. Unmitigated: 0%.,High,Low,100%,Not tested,Not tested,Low,Ayaan Irfan,ATT&CK Enterprise - T1526 - Cloud Service Discovery||ATLAS - AML.T0075 - Cloud Service Discovery,Information Disclosure||Tampering
DS2: ML Model Store,Tampering,Created by Rules Engine,"An adversary conducts API query injection, search query manipulation, or embedding poisoning",Planned mitigation: 0%. Mitigated: 100%. Unmitigated: 0%.,Critical,Low,100%,Not tested,Not tested,Low,Ayaan Irfan,ATT&CK Enterprise - T1190 - Exploit Public-Facing Application||ATLAS - AML.T0018.000 - Poison AI Model||ATLAS - AML.T0043.001 - Black-Box Optimization,Information Disclosure||Tampering
DS2: ML Model Store,Tampering,Created by Rules Engine,An adversary exploits security misconfigurations,Planned mitigation: 0%. Mitigated: 100%. Unmitigated: 0%.,Critical,Low,100%,Not tested,Not tested,Low,Ayaan Irfan,ATT&CK Enterprise - T1210 - Exploitation of Remote Services||ATT&CK Enterprise - T1588.005 - Exploits||ATLAS - AML.T0049 - Exploit Public-Facing Application||ATLAS - AML.TA0005 - Execution,Denial of Service||Elevation of Privilege||Information Disclosure||Tampering
DS2: ML Model Store,Denial of Service,Created by Rules Engine,An adversary may exploit scalability and performance limitations,Planned mitigation: 0%. Mitigated: 100%. Unmitigated: 0%.,Critical,Low,100%,Not tested,Not tested,Low,Ayaan Irfan,ATT&CK Enterprise - T1498 - Network Denial of Service||ATT&CK Enterprise - T1499 - Endpoint Denial of Service||ATLAS - AML.T0029 - Denial of AI Service||ATLAS - AML.TA0005 - Execution,Denial of Service
DS2: ML Model Store,Information Disclosure,Created by Rules Engine,An adversary reveals sensitive information in embeddings,Planned mitigation: 0%. Mitigated: 100%. Unmitigated: 0%.,High,Low,100%,Not tested,Not tested,Low,Ayaan Irfan,ATT&CK Enterprise - T1020 - Automated Exfiltration||ATT&CK Enterprise - T1530 - Data from Cloud Storage||ATLAS - AML.T0024 - Exfiltration via AI Inference API,Elevation of Privilege||Information Disclosure
External Web Servers,Elevation of Privilege,Created by Rules Engine,Attackers carry out cross-service attacks,Planned mitigation: 0%. Mitigated: 100%. Unmitigated: 0%.,High,Low,100%,Not tested,Not tested,Low,Ayaan Irfan,ATT&CK Enterprise - T1189 - Drive-by Compromise||ATT&CK Enterprise - TA0008 - Lateral Movement||ATT&CK Enterprise - T1190 - Exploit Public-Facing Application||ATT&CK Enterprise - T1102 - Web Service||ATT&CK Enterprise - TA0011 - Command and Control||ATT&CK Enterprise - T1505 - Server Software Component,Elevation of Privilege||Lateral Movement
External Web Servers,Denial of Service,Created by Rules Engine,"Attackers cause a service disruption, e.g., DoS",Planned mitigation: 0%. Mitigated: 100%. Unmitigated: 0%.,High,Low,100%,Not tested,Not tested,Low,Ayaan Irfan,ATT&CK Enterprise - TA0040 - Impact||ATT&CK Enterprise - T1110 - Brute Force||ATT&CK Enterprise - T1498 - Network Denial of Service||ATT&CK Enterprise - T1499 - Endpoint Denial of Service,Denial of Service||Tampering
User,Spoofing,Created by Rules Engine,Attackers conduct phishing attacks through deceptive websites,Planned mitigation: 0%. Mitigated: 100%. Unmitigated: 0%.,Critical,Low,100%,Not tested,Not tested,Low,Ayaan Irfan,ATT&CK Enterprise - T1566 - Phishing,Spoofing
User,Tampering,Created by Rules Engine,Attackers distribute malware through compromised browser extensions,Planned mitigation: 0%. Mitigated: 100%. Unmitigated: 0%.,Critical,Low,100%,Not tested,Not tested,Low,Ayaan Irfan,ATT&CK Enterprise - T1204 - User Execution,Tampering
User,Elevation of Privilege,Created by Rules Engine,Attackers exploit browser vulnerabilities to execute malicious code,Planned mitigation: 0%. Mitigated: 100%. Unmitigated: 0%.,Critical,Low,100%,Not tested,Not tested,Low,Ayaan Irfan,ATT&CK Enterprise - T1203 - Exploitation for Client Execution,Elevation of Privilege
